"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
id_participante,dados_base,,text,"ID do Participante",,,integer,1,30,y,,y,,,,,
consentimento_obtido,dados_base,,yesno,"O consentimento informado foi obtido e arquivado?",,,,,,,,y,,,,,
data_consetimento,dados_base,"Informação Administrativa",text,"Data de Consentimento Informado",,,date_dmy,,,,,y,,,,,
centro_saude,dados_base,,text,"Centro de saúde / USF",,"Registo do nome da unidade de saúde",,,,,,y,,,,,
grupo,dados_base,,radio,"Grupo de Randomização","0, Intervenção(RespirA) | 1, Controlo",,,,,,,y,LH,,,,
data_nascimento,dados_base,"Dados Sociodemográficos",text,"Data de Nascimento",,,date_dmy,,,y,,y,,,,,
idade,dados_base,,calc,"Idade (anos)","rounddown(datediff([data_nascimento],'today','y'))",,,,,,,y,,,,,
sexo,dados_base,,radio,"Sexo ","0, Masculino | 1, Feminino | 2, Outro",,,,,,,y,LH,,,,
habilitacoes,dados_base,,radio,"Habilitações Literárias","0, Ensino Básico| 1, Ensino Secundário| 2, Ensino Superior | 3, Outro",,,,,,,y,LH,,,,
sit_prof,dados_base,,radio,"Situação Profissional ","0, Empregado| 1, Desempregado|2, Estudante|3, Reformado|4, Outro",,,,,,,y,LH,,,,
fumador,dados_base,,radio,"Hábitos Tabágicos","0, Sim | 1,Não",,,,,,,y,LH,,,,
altura,dados_base,,text,Altura(cm),,,number,30,230,,,y,,,,,
peso,dados_base,,text,Peso(kg),,,number,30,200,,,y,,,,,
imc,dados_base,,calc,IMC,"round(([peso]*10000)/(([altura])^(2)),1)","Cálculo do IMC, segundo fórmula do REDCap",,,,,,y,,,,,
data_diag,dados_base,"Dados Clínicos de Asma",text,"Data do Diagnóstico de Asma",,,date_dmy,,,,,y,,,,,
gravidade_asma,dados_base,,radio,"Gravidade da Asma","0, Intermitente|1, Persistente ligeira|2, Persistente moderada|3, Persistente Grave","Ajuda na compreensão de possiveis outcomes",,,,,,y,LH,,,,
med_base1,dados_base,"Medicação Baseline",text,"Medicação Principal (ICS/LABA)",,"Indicar o nome comercial e dosagem do medicamento (ex: Symbicort 160/4,5 µg)",,,,,,y,,,,,
med_base2,dados_base,,text,"Medicação SOS (SABA)",,"Indicar o nome comercial e dosagem do inalador SOS (ex: Ventolin 100 µg)",,,,,,y,,,,,
med_outras,dados_base,,notes,"Outras Medicações Relevantes",,,,,,,,,,,,,
comorbilidades,dados_base,,checkbox,Comorbilidades,"1, Rinite alérgica | 2, Eczema / Dermatite atópica | 3, DRGE | 4, Obesidade | 5, Depressão/Ansiedade | 6, Sinusite crónica|7, Apneia do sono|8, Polipose nasal| 9, Nenhuma",,,,,,,,,,,,
smartphone,dados_base,"Literacia Digital",yesno,"O participante possui smartphone?",,,,,,,,y,,,,,
app_experiencia,dados_base,,radio,"Experiência prévia com apps de saúde","0, Nenhuma | 1, Pouca | 2, Moderada | 3, Elevada",,,,,,[smartphone]='1',,LH,,,,
momento_avaliacao,dados_avaliacao,Avaliação,radio,"Momento de avaliação","0, Baseline(Semana 0)| 1, Semana 4|2, Semana 8| 3, Semana 12",,,,,,,y,LH,,,,
data_avaliacao,dados_avaliacao,,text,"Data de avaliação",,,date_dmy,,,,,y,,,,,
act_p1,dados_avaliacao,"ACT-Asthma Control Test",radio,"Nas últimas 4 semanas, a asma impediu-o de realizar as suas atividades habituais?","0, Sempre | 1, Muitas vezes | 2, Às vezes | 3, Poucas vezes | 4, Nunca",,,,,,,y,LV,,,,
act_p2,dados_avaliacao,,radio,"Nas últimas 4 semanas, teve falta de ar?","0, Mais de uma vez por dia | 1, Uma vez por dia | 2, 3 a 6 vezes por semana | 3, 1 a 2 vezes por semana | 4, Nunca",,,,,,,y,LV,,,,
act_p3,dados_avaliacao,,radio,"Nas últimas 4 semanas, os sintomas de asma ( tosse, falta de ar, aperto no peito) acordaram-no durante a noite ou de manhã cedo?","0, 4 ou mais noites por semana | 1, 2 a 3 noites por semana | 2, Uma vez por semana | 3, 1 a 2 vezes | 4, Nunca",,,,,,,y,LV,,,,
act_p4,dados_avaliacao,,radio,"Nas últimas 4 semanas, utilizou o seu inalador SOS?","0, 3 ou mais vezes por dia | 1, 1 a 2 vezes por dia | 2, 2 a 3 vezes por semana | 3, Uma vez por semana ou menos | 4, Nunca",,,,,,,y,LV,,,,
act_p5,dados_avaliacao,,radio,"Como avalia o controlo da asma nas últimas 4 semanas","0, Nada controlada|1, Pouco controlada| 2, Moderadamente controlada|3, Bem controlada|4, Muito controlada",,,,,,,y,LV,,,,
act_score,dados_avaliacao,,calc,"ACT score total(5-25)",[act_p1]+[act_p2]+[act_p3]+[act_p4]+[act_p5],"5–19: Asma não controlada; 20–24: Asma bem controlada; 25: Asma completamente controlada",,,,,,,,,,,
pf_data,peak_flow_diario,"Momento de medição do Peak Flow ",text,"Data do registo",,,date_dmy,,,,,y,,,,,
pf_semana,peak_flow_diario,,text,"Semana do Estudo (1–12)",,,integer,1,12,,,y,,,,,
pf_manha,peak_flow_diario,"Peak Flow (L/min)",text,"Peak Flow – Manhã (L/min)",,"Melhor de 3 medições",integer,60,900,,,y,,,,,
pf_tarde_noite,peak_flow_diario,,text,"Peak Flow – Tarde/Noite (L/min)",,"Melhor de 3 medições",integer,60,900,,,y,,,,,
pf_dias_registados,peak_flow_diario,,text,"Nº de dias que registou o Peak Flow?",,"Registo ao fim de cada ciclo de 4 semanas",integer,0,28,,,y,,,,,
pf_taxa_adesao,peak_flow_diario,,calc,"Taxa de Adesão ao Registo no Período (%)","round(([pf_dias_registados]/28)*100,1)",,,,,,,,,,,,
